timestamp,side,pos_cmd,mode,pos_act_0,pos_act_1,pos_act_2,pos_act_3,pos_act_4,pos_act_5,angle_act_0,angle_act_1,angle_act_2,angle_act_3,angle_act_4,angle_act_5,force_act_0,force_act_1,force_act_2,force_act_3,force_act_4,force_act_5,current_0,current_1,current_2,current_3,current_4,current_5,err_0,err_1,err_2,err_3,err_4,err_5,status_0,status_1,status_2,status_3,status_4,status_5,temperature_0,temperature_1,temperature_2,temperature_3,temperature_4,temperature_5
1772827298.9872036,r,0,position,7,14,135,137,245,51,998,998,999,998,1000,986,43,-16,13,8,293,356,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,38,38,38,38,38,40
1772827299.0367138,l,8,position,79,88,96,86,244,48,998,999,999,998,1000,988,8,10,-5,10,166,159,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,40,38,48,46,44,42
1772827299.0367196,r,0,position,7,14,135,137,245,51,998,998,999,998,1000,986,43,-16,14,8,293,356,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,38,36,38,38,38,40
1772827299.0866773,l,8,position,79,88,96,86,244,48,998,999,999,998,1000,988,9,10,-4,10,166,159,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,38,38,48,46,44,42
1772827299.0866852,r,0,position,7,14,135,137,245,51,998,998,999,998,1000,986,43,-16,14,8,293,356,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,38,36,36,38,38,40
1772827299.1365469,l,8,position,79,88,96,86,244,48,998,999,999,998,1000,988,9,10,-5,10,166,159,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,40,38,48,46,44,42
1772827299.136554,r,0,position,7,14,135,137,245,51,998,998,999,998,1000,986,43,-16,14,8,293,357,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,38,38,38,38,38,40
1772827299.1861484,l,8,position,79,88,96,86,244,48,998,999,999,998,1000,988,9,10,-5,10,166,159,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,38,38,48,46,44,42
1772827299.1861556,r,0,position,7,14,135,137,245,51,998,998,999,998,1000,986,43,-16,14,8,293,357,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,38,38,38,38,38,40
1772827299.2361999,l,8,position,79,88,96,86,244,48,998,999,999,998,1000,988,8,10,-5,10,166,160,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,40,38,48,46,44,42
1772827299.2362187,r,0,position,7,14,135,137,245,51,998,998,999,998,1000,986,42,-16,14,8,293,356,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,38,38,38,38,38,40
1772827299.287131,l,8,position,79,88,96,86,244,48,998,999,999,998,1000,988,9,10,-5,10,167,160,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,40,38,48,46,44,42
1772827299.2871373,r,0,position,7,14,135,137,245,51,998,998,999,998,1000,986,43,-16,14,8,293,357,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,38,36,36,40,38,40
1772827299.3361354,l,8,position,79,88,96,86,244,47,998,999,999,998,1000,988,9,10,-5,10,167,161,0,0,0,0,0,69,0,0,0,0,0,0,1,1,1,1,1,1,40,38,48,46,44,44
1772827299.3361418,r,0,position,8,14,135,137,245,51,997,998,999,998,1000,986,42,-16,14,8,294,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,38,36,38,38,38,40
1772827299.3879764,l,8,position,79,88,96,86,244,52,998,999,999,998,1000,985,9,9,-5,10,171,166,0,0,0,0,0,-62,0,0,0,0,0,0,1,1,1,1,0,1,38,38,48,46,44,42
1772827299.3879888,r,0,position,8,14,135,137,245,51,997,998,999,998,1000,986,43,-16,14,8,293,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,38,38,38,38,38,40
1772827299.4369826,l,8,position,79,88,96,86,244,52,998,999,999,998,1000,985,9,9,-5,10,171,165,0,0,0,0,0,-25,0,0,0,0,0,0,1,1,1,1,0,1,40,38,48,46,44,42
1772827299.4369903,r,0,position,8,14,135,137,245,51,997,998,999,998,1000,986,43,-16,14,8,294,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,38,36,38,38,38,40
1772827299.487549,l,8,position,79,88,96,86,244,52,998,999,999,998,1000,985,9,9,-5,10,170,165,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,38,38,48,46,44,42
1772827299.4875593,r,0,position,8,14,135,137,245,51,997,998,999,998,1000,986,43,-16,14,8,293,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,38,36,38,40,38,40
1772827299.5373921,l,8,position,79,88,96,86,244,51,998,999,999,998,1000,986,8,10,-5,10,170,165,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,38,38,48,46,44,42
1772827299.5374005,r,0,position,8,14,135,137,245,51,997,998,999,998,1000,986,43,-16,14,8,293,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,38,36,38,40,38,40
1772827299.5881035,l,8,position,79,88,96,86,244,51,998,999,999,998,1000,986,8,10,-5,10,170,165,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,38,38,48,46,44,42
1772827299.5881176,r,0,position,8,14,135,137,245,51,997,998,999,998,1000,986,42,-15,14,8,293,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,38,36,38,40,38,40
1772827299.6365576,l,8,position,79,88,96,86,244,51,998,999,999,998,1000,986,8,9,-5,11,170,165,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,40,38,48,46,44,42
1772827299.636566,r,0,position,8,14,135,137,245,51,997,998,999,998,1000,986,43,-16,14,9,293,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,38,36,38,40,38,40
1772827299.6864648,l,8,position,79,87,96,86,244,51,998,1000,999,998,1000,986,9,9,-5,11,170,165,0,6,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,38,38,48,46,44,42
1772827299.6864722,r,0,position,8,14,135,137,245,51,997,998,999,998,1000,986,43,-16,13,9,293,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,38,38,38,40,38,40
1772827299.7366326,l,8,position,79,88,96,86,244,51,998,1000,999,998,1000,986,9,9,-5,11,170,164,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,38,38,48,46,44,42
1772827299.7366383,r,0,position,8,14,135,137,245,51,997,998,999,998,1000,986,43,-15,14,9,293,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,38,38,38,40,38,40
1772827299.7860987,l,8,position,79,88,96,86,244,51,998,999,999,998,1000,986,9,9,-5,11,170,164,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,38,38,48,46,44,42
1772827299.786103,r,0,position,8,14,135,137,245,51,997,998,999,998,1000,986,43,-15,14,8,293,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,38,38,38,40,38,40
1772827299.8358517,l,8,position,79,88,96,86,244,51,998,999,999,998,1000,986,9,9,-5,11,170,164,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,38,38,48,46,44,42
1772827299.8358614,r,0,position,8,14,135,137,245,51,997,998,999,998,1000,986,43,-15,14,8,293,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,38,38,38,40,38,40
1772827299.8856263,l,19,position,79,88,96,86,244,51,998,999,999,998,1000,986,9,9,-5,10,170,164,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,38,38,48,46,44,44
1772827299.8856316,r,0,position,8,14,135,137,245,51,997,998,999,998,1000,986,43,-15,13,8,293,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,38,38,38,40,38,40
1772827299.9364293,l,23,position,79,88,96,86,244,51,998,999,999,998,1000,986,9,9,-4,10,170,164,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,40,38,48,46,44,42
1772827299.9364376,r,0,position,8,14,135,137,245,51,997,998,999,998,1000,986,43,-15,14,8,294,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,38,38,36,38,38,40
