timestamp,side,pos_cmd,mode,pos_act_0,pos_act_1,pos_act_2,pos_act_3,pos_act_4,pos_act_5,angle_act_0,angle_act_1,angle_act_2,angle_act_3,angle_act_4,angle_act_5,force_act_0,force_act_1,force_act_2,force_act_3,force_act_4,force_act_5,current_0,current_1,current_2,current_3,current_4,current_5,err_0,err_1,err_2,err_3,err_4,err_5,status_0,status_1,status_2,status_3,status_4,status_5,temperature_0,temperature_1,temperature_2,temperature_3,temperature_4,temperature_5
1772827336.4372823,r,0,position,8,13,135,137,245,51,997,998,999,998,1000,986,45,-14,17,10,299,363,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,40,38,38,40,40,42
1772827336.487013,l,0,position,78,88,97,86,245,50,999,999,998,998,1000,987,11,15,2,17,171,173,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,42,40,50,48,46,44
1772827336.4870179,r,0,position,8,14,135,137,245,51,997,998,999,998,1000,986,45,-14,18,10,299,363,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,40,38,38,40,40,40
1772827336.5352082,l,0,position,78,88,97,86,245,50,999,999,998,998,1000,987,11,15,2,17,171,173,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,42,38,50,48,46,44
1772827336.5352154,r,0,position,8,14,135,137,245,51,997,998,999,998,1000,986,45,-14,18,10,299,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,40,38,38,40,40,40
1772827336.5857866,l,0,position,78,88,97,86,245,50,999,999,998,998,1000,987,11,15,2,17,171,173,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,42,40,50,48,46,44
1772827336.5857933,r,0,position,8,13,135,137,245,51,997,998,999,998,1000,986,45,-14,18,10,299,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,38,38,38,40,40,40
1772827336.6352587,l,0,position,78,88,97,86,245,50,999,999,998,998,1000,987,11,15,2,17,171,173,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,40,40,50,48,46,44
1772827336.635264,r,0,position,8,13,135,137,245,51,997,998,999,998,1000,986,46,-14,17,10,299,363,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,38,38,38,40,38,40
1772827336.686077,l,0,position,78,88,97,86,245,50,999,999,998,998,1000,987,11,15,2,17,171,173,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,42,40,50,48,46,44
1772827336.686082,r,0,position,8,13,135,137,245,51,997,998,999,998,1000,986,45,-14,17,10,299,363,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,38,38,38,40,38,40
1772827336.7355633,l,0,position,78,88,97,86,245,50,999,999,998,998,1000,987,11,15,2,17,171,173,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,40,40,50,48,46,44
1772827336.7355692,r,0,position,8,13,135,137,245,51,997,998,999,998,1000,986,45,-14,17,10,299,363,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,38,38,38,40,40,40
1772827336.7857656,l,0,position,78,88,97,86,245,50,999,999,998,998,1000,987,11,15,2,17,171,174,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,40,40,50,48,46,44
1772827336.7857718,r,0,position,8,13,135,137,245,51,997,998,999,998,1000,986,46,-15,18,10,299,363,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,40,38,38,40,38,40
1772827336.8359158,l,0,position,78,88,97,86,245,50,999,999,998,998,1000,987,11,15,2,17,172,173,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,40,40,50,48,46,44
1772827336.8359218,r,0,position,8,13,135,137,245,51,997,998,999,998,1000,986,45,-14,17,10,299,363,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,38,38,38,40,38,42
1772827336.886671,l,0,position,78,88,97,86,245,50,999,999,998,998,1000,987,11,15,2,17,172,173,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,40,40,50,48,46,44
